brand,salt,strength_mg,form,nti,common_interactions,manufacturer,approx_mrp_inr
Glycomet 500,metformin hydrochloride,500,tablet,False,contrast media; alcohol,USV,22.5
Obimet 500,metformin hydrochloride,500,tablet,False,contrast media; alcohol,Abbott,19.8
Cetapin 500,metformin hydrochloride,500,tablet,False,contrast media; alcohol,Sanofi,25.0
Formin 500,metformin hydrochloride,500,tablet,False,contrast media; alcohol,Alkem,18.2
Metsmall 500,metformin hydrochloride,500,tablet,False,contrast media; alcohol,Dr Reddys,21.0
Glycomet 850,metformin hydrochloride,850,tablet,False,contrast media; alcohol,USV,34.0
Obimet 850,metformin hydrochloride,850,tablet,False,contrast media; alcohol,Abbott,31.5
Cetapin 850,metformin hydrochloride,850,tablet,False,contrast media; alcohol,Sanofi,36.0
Glycomet 1000 SR,metformin hydrochloride,1000,tablet,False,contrast media; alcohol,USV,48.0
Obimet 1000 SR,metformin hydrochloride,1000,tablet,False,contrast media; alcohol,Abbott,45.0
Glucophage XR 1000,metformin hydrochloride,1000,tablet,False,contrast media; alcohol,Merck,62.0
Cardace 2.5,ramipril,2.5,tablet,False,potassium supplements; spironolactone; nsaids,Sanofi,55.0
Hopace 2.5,ramipril,2.5,tablet,False,potassium supplements; spironolactone; nsaids,Micro Labs,42.0
Ramistar 2.5,ramipril,2.5,tablet,False,potassium supplements; spironolactone; nsaids,Lupin,46.0
Ramipres 2.5,ramipril,2.5,tablet,False,potassium supplements; spironolactone; nsaids,Cipla,44.0
Cardace 5,ramipril,5,tablet,False,potassium supplements; spironolactone; nsaids,Sanofi,88.0
Hopace 5,ramipril,5,tablet,False,potassium supplements; spironolactone; nsaids,Micro Labs,68.0
Ramistar 5,ramipril,5,tablet,False,potassium supplements; spironolactone; nsaids,Lupin,72.0
Ramipres 5,ramipril,5,tablet,False,potassium supplements; spironolactone; nsaids,Cipla,70.0
Telma 40,telmisartan,40,tablet,False,potassium supplements; aliskiren; lithium,Glenmark,92.0
Telmikind 40,telmisartan,40,tablet,False,potassium supplements; aliskiren; lithium,Mankind,45.0
Telpres 40,telmisartan,40,tablet,False,potassium supplements; aliskiren; lithium,Abbott,85.0
Telsartan 40,telmisartan,40,tablet,False,potassium supplements; aliskiren; lithium,Dr Reddys,78.0
Cresar 40,telmisartan,40,tablet,False,potassium supplements; aliskiren; lithium,Cipla,80.0
Telma 80,telmisartan,80,tablet,False,potassium supplements; aliskiren; lithium,Glenmark,165.0
Telmikind 80,telmisartan,80,tablet,False,potassium supplements; aliskiren; lithium,Mankind,85.0
Telpres 80,telmisartan,80,tablet,False,potassium supplements; aliskiren; lithium,Abbott,150.0
Amlong 5,amlodipine,5,tablet,False,simvastatin; cyclosporine; diltiazem,Micro Labs,32.0
Amlopin 5,amlodipine,5,tablet,False,simvastatin; cyclosporine; diltiazem,USV,28.0
Stamlo 5,amlodipine,5,tablet,False,simvastatin; cyclosporine; diltiazem,Dr Reddys,34.0
Amcard 5,amlodipine,5,tablet,False,simvastatin; cyclosporine; diltiazem,Cadila,26.0
Atorva 10,atorvastatin,10,tablet,False,clarithromycin; itraconazole; gemfibrozil,Zydus,78.0
Storvas 10,atorvastatin,10,tablet,False,clarithromycin; itraconazole; gemfibrozil,Sun Pharma,82.0
Lipivas 10,atorvastatin,10,tablet,False,clarithromycin; itraconazole; gemfibrozil,Cipla,75.0
Tonact 10,atorvastatin,10,tablet,False,clarithromycin; itraconazole; gemfibrozil,Lupin,76.0
Aztor 10,atorvastatin,10,tablet,False,clarithromycin; itraconazole; gemfibrozil,Torrent,79.0
Atorva 20,atorvastatin,20,tablet,False,clarithromycin; itraconazole; gemfibrozil,Zydus,145.0
Storvas 20,atorvastatin,20,tablet,False,clarithromycin; itraconazole; gemfibrozil,Sun Pharma,155.0
Lipivas 20,atorvastatin,20,tablet,False,clarithromycin; itraconazole; gemfibrozil,Cipla,142.0
Tonact 20,atorvastatin,20,tablet,False,clarithromycin; itraconazole; gemfibrozil,Lupin,146.0
Atorva 40,atorvastatin,40,tablet,False,clarithromycin; itraconazole; gemfibrozil,Zydus,260.0
Storvas 40,atorvastatin,40,tablet,False,clarithromycin; itraconazole; gemfibrozil,Sun Pharma,275.0
Lipivas 40,atorvastatin,40,tablet,False,clarithromycin; itraconazole; gemfibrozil,Cipla,255.0
Rozucor 10,rosuvastatin,10,tablet,False,antacids; warfarin; cyclosporine,Torrent,140.0
Rosuvas 10,rosuvastatin,10,tablet,False,antacids; warfarin; cyclosporine,Ranbaxy / Sun,150.0
Rozavel 10,rosuvastatin,10,tablet,False,antacids; warfarin; cyclosporine,Sun Pharma,145.0
Turbovas 10,rosuvastatin,10,tablet,False,antacids; warfarin; cyclosporine,Micro Labs,120.0
Rozucor 20,rosuvastatin,20,tablet,False,antacids; warfarin; cyclosporine,Torrent,245.0
Rosuvas 20,rosuvastatin,20,tablet,False,antacids; warfarin; cyclosporine,Sun Pharma,260.0
Rozavel 20,rosuvastatin,20,tablet,False,antacids; warfarin; cyclosporine,Sun Pharma,250.0
Deplatt 75,clopidogrel,75,tablet,False,omeprazole; esomeprazole; anticoagulants,Torrent,98.0
Clopilet 75,clopidogrel,75,tablet,False,omeprazole; esomeprazole; anticoagulants,Sun Pharma,105.0
Plavix 75,clopidogrel,75,tablet,False,omeprazole; esomeprazole; anticoagulants,Sanofi,210.0
Clopivas 75,clopidogrel,75,tablet,False,omeprazole; esomeprazole; anticoagulants,Cipla,95.0
Ecosprin 75,aspirin,75,tablet,False,warfarin; heparin; ibuprofen; methotrexate,USV,5.5
Loprin 75,aspirin,75,tablet,False,warfarin; heparin; ibuprofen; methotrexate,Unichem,4.8
Delisprin 75,aspirin,75,tablet,False,warfarin; heparin; ibuprofen; methotrexate,Aristo,5.0
Ecosprin 150,aspirin,150,tablet,False,warfarin; heparin; ibuprofen; methotrexate,USV,9.2
Loprin 150,aspirin,150,tablet,False,warfarin; heparin; ibuprofen; methotrexate,Unichem,8.5
Delisprin 150,aspirin,150,tablet,False,warfarin; heparin; ibuprofen; methotrexate,Aristo,8.8
Betaloc 25,metoprolol succinate,25,tablet,False,verapamil; diltiazem; amiodarone,AstraZeneca,85.0
Metolar XR 25,metoprolol succinate,25,tablet,False,verapamil; diltiazem; amiodarone,Cipla,52.0
Met XL 25,metoprolol succinate,25,tablet,False,verapamil; diltiazem; amiodarone,Ajanta,55.0
Starpress XL 25,metoprolol succinate,25,tablet,False,verapamil; diltiazem; amiodarone,Lupin,50.0
Betaloc 50,metoprolol succinate,50,tablet,False,verapamil; diltiazem; amiodarone,AstraZeneca,145.0
Metolar XR 50,metoprolol succinate,50,tablet,False,verapamil; diltiazem; amiodarone,Cipla,92.0
Met XL 50,metoprolol succinate,50,tablet,False,verapamil; diltiazem; amiodarone,Ajanta,96.0
Starpress XL 50,metoprolol succinate,50,tablet,False,verapamil; diltiazem; amiodarone,Lupin,89.0
Pan 40,pantoprazole,40,tablet,False,ketoconazole; methotrexate,Alkem,115.0
Pantocid 40,pantoprazole,40,tablet,False,ketoconazole; methotrexate,Sun Pharma,125.0
Pantodac 40,pantoprazole,40,tablet,False,ketoconazole; methotrexate,Zydus,110.0
Pantosec 40,pantoprazole,40,tablet,False,ketoconazole; methotrexate,Cipla,118.0
Penta 40,pantoprazole,40,tablet,False,ketoconazole; methotrexate,Torrent,98.0
Razo 20,rabeprazole,20,tablet,False,atazanavir; iron salts,Dr Reddys,140.0
Happi 20,rabeprazole,20,tablet,False,atazanavir; iron salts,Zydus,120.0
Rablet 20,rabeprazole,20,tablet,False,atazanavir; iron salts,Lupin,135.0
Rabicip 20,rabeprazole,20,tablet,False,atazanavir; iron salts,Cipla,125.0
Forxiga 10,dapagliflozin,10,tablet,False,loop diuretics; insulin,AstraZeneca,650.0
Dapavel 10,dapagliflozin,10,tablet,False,loop diuretics; insulin,Sun Pharma,160.0
Oxra 10,dapagliflozin,10,tablet,False,loop diuretics; insulin,Sun Pharma,170.0
Dapanorm 10,dapagliflozin,10,tablet,False,loop diuretics; insulin,Alkem,145.0
Tenelimac 20,teneligliptin,20,tablet,False,sulfonylureas; insulin,Macleods,95.0
Tenglyn 20,teneligliptin,20,tablet,False,sulfonylureas; insulin,Zydus,110.0
Ziten 20,teneligliptin,20,tablet,False,sulfonylureas; insulin,Glenmark,120.0
Dynaglipt 20,teneligliptin,20,tablet,False,sulfonylureas; insulin,Mankind,85.0
Dolo 650,paracetamol,650,tablet,False,alcohol; warfarin,Micro Labs,30.5
Calpol 650,paracetamol,650,tablet,False,alcohol; warfarin,GSK,31.0
P-650,paracetamol,650,tablet,False,alcohol; warfarin,Apex,28.0
Pacimol 650,paracetamol,650,tablet,False,alcohol; warfarin,Ipca,27.5
Augmentin 625 Duo,amoxicillin clavulanate,625,tablet,False,methotrexate; allopurinol; oral contraceptives,GSK,205.0
