analyte,unit,ref_low,ref_high,sample_type,category,clinical_note
Serum Creatinine,mg/dL,0.7,1.3,Blood,Renal Function,"Key marker for kidney filtration rate. >1.5 flags potential drug accumulation (e.g. Metformin)."
Blood Urea Nitrogen,mg/dL,7.0,20.0,Blood,Renal Function,"Elevated in acute kidney injury or severe dehydration."
Serum Potassium,mEq/L,3.5,5.1,Blood,Electrolytes,"Critical electrolyte. Hyperkalemia (>5.5) carries severe cardiac arrhythmia risk, especially with ACE-inhibitors/ARBs."
Serum Sodium,mEq/L,135.0,145.0,Blood,Electrolytes,"Regulates fluid balance and neuro-muscular excitation."
Serum Chloride,mEq/L,96.0,106.0,Blood,Electrolytes,"Maintains acid-base balance."
Fasting Blood Sugar,mg/dL,70.0,100.0,Blood,Diabetes,"Normal fasting glucose. 100-125 is prediabetes; >=126 indicates diabetes."
Postprandial Blood Sugar,mg/dL,70.0,140.0,Blood,Diabetes,"Two-hour postprandial glucose level."
HbA1c,%,4.0,5.6,Blood,Diabetes,"Three-month glycation index. 5.7-6.4 is prediabetic, >=6.5 indicates diabetes."
Total Cholesterol,mg/dL,125.0,200.0,Blood,Lipid Profile,"Desirable level below 200 mg/dL."
LDL Cholesterol,mg/dL,0.0,100.0,Blood,Lipid Profile,"Primary atherogenic target. Post-MI target is <70 mg/dL or <55 mg/dL."
HDL Cholesterol,mg/dL,40.0,60.0,Blood,Lipid Profile,"Cardioprotective lipid fraction."
Triglycerides,mg/dL,0.0,150.0,Blood,Lipid Profile,"Normal fasting triglyceride level."
Hemoglobin,g/dL,13.0,17.0,Blood,Complete Blood Count,"Male adult normal range. (Female adult: 12.0 - 15.5 g/dL)."
Total Leukocyte Count,cells/cumm,4000.0,11000.0,Blood,Complete Blood Count,"Elevations reflect bacterial infection or severe acute inflammation."
Platelet Count,lakhs/cumm,1.5,4.5,Blood,Complete Blood Count,"150,000 to 450,000 / uL. Crucial for coagulation."
Total Bilirubin,mg/dL,0.2,1.2,Blood,Liver Function,"Elevated in biliary obstruction or hemolysis."
Direct Bilirubin,mg/dL,0.0,0.3,Blood,Liver Function,"Conjugated bilirubin."
SGPT (ALT),U/L,7.0,56.0,Blood,Liver Function,"Specific enzyme for hepatocellular injury."
SGOT (AST),U/L,10.0,40.0,Blood,Liver Function,"Marker for hepatic and cardiac cell damage."
Alkaline Phosphatase,U/L,44.0,147.0,Blood,Liver Function,"Elevated in biliary or bone disorders."
Serum Albumin,g/dL,3.5,5.2,Blood,Liver Function,"Key carrier protein and oncotic pressure regulator."
Total Protein,g/dL,6.0,8.3,Blood,Liver Function,"Serum globulin and albumin sum."
Uric Acid,mg/dL,3.5,7.2,Blood,Renal Function,"Elevated in hyperuricemia and gout."
Serum Calcium,mg/dL,8.6,10.3,Blood,Metabolic Panel,"Total serum calcium level."
Serum Phosphorus,mg/dL,2.5,4.5,Blood,Metabolic Panel,"Regulated by parathyroid hormone and vitamin D."
Troponin I,ng/mL,0.0,0.04,Blood,Cardiac Biomarker,"Gold standard for acute myocardial injury."
CPK-MB,ng/mL,0.0,4.9,Blood,Cardiac Biomarker,"Cardiac isoenzyme released during myocardial necrosis."
ESR,mm/hr,0.0,15.0,Blood,Inflammatory Marker,"Westergren method inflammatory rate for adult males."
C-Reactive Protein (CRP),mg/L,0.0,5.0,Blood,Inflammatory Marker,"Acute phase reactant for systemic inflammation."
Thyroid Stimulating Hormone (TSH),uIU/mL,0.4,4.2,Blood,Thyroid Profile,"Primary pituitary regulator of thyroid function."
Free T4,ng/dL,0.8,1.8,Blood,Thyroid Profile,"Active circulating thyroxine."
Free T3,pg/mL,2.0,4.4,Blood,Thyroid Profile,"Active circulating triiodothyronine."
INR,ratio,0.8,1.2,Blood,Coagulation,"Prothrombin ratio. Therapeutic range on Warfarin is typically 2.0 - 3.0."
D-Dimer,ug/mL FEU,0.0,0.5,Blood,Coagulation,"Fibrin degradation product for venous thromboembolism."
Prothrombin Time,seconds,11.0,13.5,Blood,Coagulation,"Intrinsic clotting pathway time."
